stop_id,	stop_code,	stop_name,	stop_desc,	stop_lat,	stop_lon,	zone_id,	stop_url

Stop ID is used with the Stop Time. At a certain departure time, look for what departure times 
1247R,,"Big Basin Wy & B. Crk Country Club",,  37.153385,-122.161385,,
1250R,,"Bonny Doon Rd & #6617/#6692",,  37.065868,-122.151726,,
1251R,,"Bonny Doon Rd & (Country Estates Ter)",,  37.052711,-122.160866,,
1254R,,"Broadway & Riverside (Park)",,  36.971329,-122.022049,,
1255R,,"Broadway & Clay",,  36.972656,-122.019501,,
1256R,,"Broadway & Clay",,  36.972805,-122.019524,,
1257R,,"Broadway & Ocean",,  36.973503,-122.017769,,
1258R,,"Broadway & Pine",,  36.974903,-122.012794,,
1259R,,"Broadway & Cayuga",,  36.975063,-122.010559,,
1260R,,"Broadway & Seabright",,  36.975346,-122.008850,,
1261R,,"Broadway & Frederick",,  36.976543,-122.004028,,
1262R,,"Brommer & #800 (Sorrento Oaks)",,  36.971954,-121.993874,,
1263R,,"Brommer & Captains Court",,  36.972103,-121.993774,,
1265R,,"Brommer & El Dorado",,  36.971947,-121.989578,,
1266R,,"Brommer & El Dorado",,  36.972061,-121.989075,,
1267R,,"Brommer & 17th",,  36.971119,-121.985313,,
1269R,,"Brommer & 17th",,  36.971306,-121.985390,,
1277R,,"Burlwood & El Camino",,  37.061104,-121.998703,,
1278R,,"Burlwood & Granite Creek (#108)",,  37.060097,-121.999901,,
1288R,,"Capitola Rd & 7th",,  36.979492,-121.992188,,
1289R,,"Capitola Rd & 7th",,  36.979050,-121.991577,,
1290R,,"Capitola Rd & Jose/El Dorado",,  36.977577,-121.988701,,
1291R,,"Capitola Rd & Jose",,  36.977852,-121.988724,,
1293R,,"Capitola Rd & 17th",,  36.975636,-121.982391,,
1294R,,"Capitola Rd & 17th Ave. (Live Oak Senior Ctr)",,  36.975834,-121.981972,,
1297R,,"Capitola Rd & Wood Rose",,  36.975285,-121.978172,,
1298R,,"Capitola Rd & Maciel",,  36.975441,-121.976852,,
1299R,,"Capitola Rd & 30th",,  36.973675,-121.974098,,
1300R,,"Capitola Rd & 30th",,  36.973789,-121.972603,,
1301R,,"Capitola Rd & Thompson/Sommerfeld",,  36.973602,-121.970589,,
1302R,,"Capitola Rd & 41st",,  36.973602,-121.966553,,
1303R,,"Capitola Rd & 41st",,  36.973621,-121.964485,,
1304R,,"Capitola Rd & 41st",,  36.973843,-121.963669,,
1305R,,"Capitola Rd & 44th",,  36.973618,-121.960815,,
1306R,,"Capitola Rd & 43rd",,  36.973843,-121.961472,,
1307R,,"Capitola Rd & 47th",,  36.973656,-121.958023,,
1309R,,"Cement Plant Rd & Cement Plnt Entrance",,  37.015259,-122.200676,,
1310R,,"Cement Plant Rd & 3rd",,  37.019077,-122.205238,,
1312R,,"Center Ave & East",,  36.974327,-121.910355,,
1314R,,"Center Ave & Santa Clara",,  36.974442,-121.908646,,
1315R,,"Center Ave & El Camino Del Mar",,  36.974503,-121.907295,,
1325R,,"Clubhouse & St Andrews",,  36.964104,-121.879417,,
1328R,,"Clubhouse & Lock",,  36.967808,-121.883453,,
1331R,,"Clubhouse & Los Altos",,  36.970222,-121.885704,,
1332R,,"Clubhouse & Murray",,  36.972874,-121.887932,,
1341R,,"Coolidge & Main Entrance",,  36.977638,-122.053680,,
1342R,,"Coolidge & Hagar",,  36.981369,-122.051926,,
1344R,,"Coral & Granite Rock",,  36.984577,-122.032249,,
1345R,,"Coral & River",,  36.985153,-122.030830,,
1347R,,"Emeline & Emeline Complex",,  36.991112,-122.016518,,
1349R,,"Delaware & De Anza Mhp",,  36.954601,-122.062317,,
1350R,,"Delaware & Natural Bridges",,  36.954792,-122.057671,,
1351R,,"Delaware & Swift",,  36.955643,-122.048012,,
1352R,,"Delaware & Almar",,  36.956249,-122.043053,,
1353R,,"Delaware & Surfside",,  36.956711,-122.040794,,
1355R,,"Delaware & Woodrow",,  36.956913,-122.037956,,
1356R,,"Delaware & Woodrow",,  36.957111,-122.037643,,
1359R,,"East Cliff & 5th (Crows Nest)",,  36.962841,-122.000175,,
1360R,,"East Cliff & 13th",,  36.964195,-121.992393,,
1363R,,"East Cliff & East Cliff Village",,  36.963562,-121.990685,,
1364R,,"East Cliff & 15th",,  36.963505,-121.991188,,
1370R,,"E Zayante & Quail Hollow",,  37.074585,-122.054924,,
1371R,,"E Zayante & Sylvan",,  37.081413,-122.050331,,
1372R,,"Eaton & 5th",,  36.967808,-121.999176,,
1379R,,"Emeline & Grant",,  36.985378,-122.018837,,
1380R,,"Emeline & Avalon",,  36.985912,-122.018623,,
1381R,,"Emeline & Button",,  36.986755,-122.018532,,
1382R,,"Emeline & Belmont (#508)",,  36.988178,-122.018280,,
1383R,,"Emeline & Fernside",,  36.988522,-122.018066,,
1384R,,"Emeline & Sutphen (#1020)",,  36.991154,-122.017738,,
1385R,,"Empire Grade & Arboretum (Water Tank)",,  36.982777,-122.062706,,
1386R,,"Empire Grade & Heller",,  36.988293,-122.068787,,
1387R,,"Empire Grade & Waldorf School",,  37.005913,-122.073990,,
1388R,,"Empire Grade & Past Smith Grade",,  37.026981,-122.099411,,
1389R,,"Empire Grade & Pineridge",,  37.045361,-122.109467,,
1390R,,"Empire Grade & Pineridge",,  37.045700,-122.109734,,
1391R,,"Empire Grade & Mcgivern Wy",,  37.053997,-122.117096,,
1392R,,"Empire Grade & Felton-Empire",,  37.057629,-122.122879,,
1393R,,"Empire Grade & Felton-Empire",,  37.057446,-122.122986,,
1395R,,"Empire Grade & Wild Iris Ln",,  37.064621,-122.123215,,
1396R,,"Empire Grade & Feather Ln",,  37.066418,-122.122498,,
1397R,,"Empire Grade & Sunlit Ln",,  37.068130,-122.123344,,
1398R,,"Empire Grade & #8695 (Grainger)",,  37.073196,-122.129517,,
1399R,,"Empire Grade & Rustic (#8756)",,  37.074287,-122.130234,,
1404R,,"Encinal & Highway 9",,  36.986710,-122.030769,,
1408R,,"Delaware & Fair",,  36.955929,-122.045280,,
1410R,,"Fair & Hebard/Jeter",,  36.957806,-122.045456,,
1414R,,"Fair & Mission",,  36.961178,-122.046295,,
1422R,,"Felton Faire & ",,  37.051975,-122.068474,,
1423R,,"Fern & #910",,  37.032726,-122.076721,,
1424R,,"Frederick & Gault (La Posada)",,  36.979462,-122.004379,,
1425R,,"Freedom & Soquel Dr",,  36.972557,-121.871498,,
1426R,,"Freedom & Soquel Drive",,  36.972919,-121.870911,,
1427R,,"Freedom & Aptos High School",,  36.975254,-121.869881,,
1428R,,"Freedom & Aptos High School",,  36.975643,-121.869362,,
1429R,,"Freedom & Valencia",,  36.981274,-121.864647,,
1430R,,"Freedom & Valencia",,  36.981598,-121.864250,,
1431R,,"Freedom & Mcdonald",,  36.986607,-121.859665,,
1432R,,"Freedom & Mcdonald",,  36.986290,-121.859947,,
1433R,,"Freedom & 6100 Block",,  36.986561,-121.856277,,
1434R,,"Freedom & 6100 Block",,  36.986397,-121.856224,,
1435R,,"Freedom & #5620  (Resp. Care)",,  36.986664,-121.847649,,
1436R,,"Freedom & #5620  (Resp. Care)",,  36.986568,-121.847328,,
1437R,,"Freedom & #5310",,  36.987724,-121.842270,,
1439R,,"Freedom & Day Valley",,  36.987881,-121.838165,,
1440R,,"Freedom & Day Valley",,  36.987694,-121.837944,,
1441R,,"Freedom & La Vida",,  36.980305,-121.828217,,
1442R,,"Freedom & Pleasant Valley",,  36.976585,-121.825348,,
1443R,,"Freedom & Willow Heights",,  36.976177,-121.825211,,
1444R,,"Freedom & Protsman (Scott Park)",,  36.970886,-121.819077,,
1445R,,"Freedom & White Rd.",,  36.970436,-121.818985,,
1446R,,"Freedom & Corralitos",,  36.964157,-121.809837,,
1447R,,"Freedom & Corralitos",,  36.963253,-121.809448,,
1448R,,"Freedom & (Manns Apples)",,  36.960724,-121.806229,,
1449R,,"Freedom & (Manns Apples)",,  36.960606,-121.806358,,
1450R,,"Freedom & (Rider Apples)",,  36.947906,-121.790741,,
1451R,,"Freedom & (Rider Apples)",,  36.948822,-121.792099,,
1452R,,"Freedom & Filipino Community Center",,  36.946781,-121.789612,,
1453R,,"Freedom & Filipino Community Center",,  36.946686,-121.789742,,
1457R,,"River & River St Extension",,  36.976315,-122.025482,,
1458R,,"Glen Arbor & Hermosa",,  37.074276,-122.082520,,
1459R,,"Glen Arbor & Hermosa",,  37.074192,-122.082664,,
1460R,,"Glen Arbor & Azalea",,  37.075436,-122.080383,,
1461R,,"Glen Arbor & Azalea",,  37.075413,-122.080284,,
1462R,,"Glen Arbor & Pine St",,  37.088444,-122.084755,,
1463R,,"Glen Arbor & Quail Hollow",,  37.078968,-122.077835,,
1465R,,"Glen Arbor & #8940",,  37.081215,-122.077965,,
1466R,,"Glen Arbor & Madrone",,  37.083786,-122.081886,,
1467R,,"Glen Arbor & Madrone",,  37.084080,-122.082275,,
1468R,,"Glen Arbor & Hillcrest Ave",,  37.085506,-122.083244,,
1470R,,"Glen Arbor & Locust",,  37.086823,-122.083870,,
1471R,,"Glen Arbor & Hihn",,  37.078354,-122.079124,,
1472R,,"Glen Arbor & Hihn",,  37.078114,-122.079514,,
1474R,,"Glen Arbor & Riverside Ave",,  37.088734,-122.087883,,
1476R,,"Graham Hill & Tanner Heights",,  36.990841,-122.026939,,
1477R,,"Graham Hill & Lyle Wy",,  36.999050,-122.029999,,
1478R,,"Graham Hill & Westwood",,  37.001347,-122.031372,,
1479R,,"Graham Hill & Hidden Creek",,  37.004234,-122.033066,,
1480R,,"Graham Hill & Deer Path",,  37.006126,-122.034134,,
1481R,,"Graham Hill & Deer Path",,  37.006763,-122.034027,,
1482R,,"Graham Hill & Sims",,  37.011383,-122.034286,,
